1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,482090
1024,000000	5,989922
2048,000000	8,933125
3072,000000	11,473125
4096,000000	13,947578
5120,000000	16,319687
6144,000000	18,975625
7168,000000	21,949687
8192,000000	24,323516
9216,000000	26,354922
10240,000000	29,069375
11264,000000	31,512969
12288,000000	34,281328
13312,000000	36,716094
14336,000000	39,007891
15360,000000	41,697578
16384,000000	44,293828
17408,000000	46,921953
18432,000000	49,093047
19456,000000	51,382578
20480,000000	53,388906
21504,000000	56,007109
22528,000000	59,018828
23552,000000	61,121094
24576,000000	63,684453
25600,000000	66,215391
26624,000000	68,550313
27648,000000	70,407734
28672,000000	73,183906
29696,000000	75,260703
30720,000000	77,936406
31744,000000	79,976328
32768,000000	82,414297
33792,000000	84,979609
34816,000000	86,853047
35840,000000	89,065000
36864,000000	91,331328
37888,000000	93,512344
38912,000000	95,985312
39936,000000	97,966953
40960,000000	100,042969
41984,000000	101,759687
43008,000000	103,813437
44032,000000	106,084922
45056,000000	108,130078
46080,000000	110,230469
47104,000000	111,967188
48128,000000	114,248906
49152,000000	116,485547
50176,000000	117,947500
51200,000000	120,001797
52224,000000	122,089062
53248,000000	123,707734
54272,000000	126,187422
55296,000000	127,761641
56320,000000	129,603047
57344,000000	131,142500
58368,000000	133,204531
59392,000000	135,058437
60416,000000	136,797656
61440,000000	138,711719
62464,000000	140,635469
63488,000000	142,442734
64512,000000	143,663047
65536,000000	145,719844
66560,000000	147,540156
67584,000000	149,583359
68608,000000	150,847813
69632,000000	152,514141
70656,000000	153,891875
71680,000000	155,707031
72704,000000	157,227656
73728,000000	158,888828
74752,000000	160,008203
75776,000000	161,414844
76800,000000	163,010937
77824,000000	164,554297
78848,000000	166,318203
79872,000000	167,536719
80896,000000	168,753359
81920,000000	170,409375
82944,000000	171,607969
83968,000000	173,011172
84992,000000	174,442266
86016,000000	175,999609
87040,000000	177,207344
88064,000000	178,737031
89088,000000	179,764453
90112,000000	181,127500
91136,000000	182,660703
92160,000000	183,499063
93184,000000	184,693828
94208,000000	186,258437
95232,000000	187,212188
96256,000000	188,427578
97280,000000	189,269688
98304,000000	190,660391
99328,000000	191,980781
100352,000000	192,633828
101376,000000	193,741250
102400,000000	194,677578
103424,000000	195,953203
104448,000000	197,059609
105472,000000	197,992500
106496,000000	199,107109
107520,000000	199,980469
108544,000000	201,130625
109568,000000	201,925156
110592,000000	203,128594
111616,000000	203,621328
112640,000000	204,370547
113664,000000	205,615000
114688,000000	206,434063
115712,000000	207,533750
116736,000000	207,964297
117760,000000	208,998516
118784,000000	209,810859
119808,000000	210,452734
120832,000000	211,379141
121856,000000	212,193984
122880,000000	213,009531
123904,000000	214,076484
124928,000000	214,371719
125952,000000	215,453125
126976,000000	216,112266
128000,000000	216,662656
129024,000000	217,346875
130048,000000	218,283047
131072,000000	218,798594
132096,000000	219,275703
133120,000000	220,046016
134144,000000	220,580938
135168,000000	220,953594
136192,000000	221,718359
137216,000000	222,578203
138240,000000	223,262109
139264,000000	223,250625
140288,000000	224,011094
141312,000000	224,450312
142336,000000	225,287344
143360,000000	225,532813
144384,000000	226,073203
145408,000000	226,578906
146432,000000	227,129219
