1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	2,209262
1024,000000	4,080663
2048,000000	7,288828
3072,000000	10,898828
4096,000000	14,297812
5120,000000	17,376875
6144,000000	21,011016
7168,000000	24,174922
8192,000000	27,480000
9216,000000	30,838984
10240,000000	34,345469
11264,000000	37,943672
12288,000000	40,948047
13312,000000	43,954531
14336,000000	47,850703
15360,000000	50,477734
16384,000000	53,797969
17408,000000	56,954297
18432,000000	60,300391
19456,000000	63,414062
20480,000000	66,527188
21504,000000	69,903594
22528,000000	72,991172
23552,000000	76,165781
24576,000000	79,268047
25600,000000	81,965391
26624,000000	85,164297
27648,000000	87,972656
28672,000000	90,882188
29696,000000	93,927734
30720,000000	96,910469
31744,000000	99,772109
32768,000000	102,760312
33792,000000	105,801953
34816,000000	108,307578
35840,000000	111,446719
36864,000000	113,837109
37888,000000	116,560234
38912,000000	118,943438
39936,000000	122,415391
40960,000000	124,389297
41984,000000	127,056719
43008,000000	129,377734
44032,000000	131,902266
45056,000000	134,739844
46080,000000	136,967422
47104,000000	139,896641
48128,000000	142,417109
49152,000000	144,475938
50176,000000	146,833125
51200,000000	149,432578
52224,000000	151,440078
53248,000000	153,839766
54272,000000	156,023359
55296,000000	158,063906
56320,000000	160,388750
57344,000000	162,290938
58368,000000	164,293281
59392,000000	166,932109
60416,000000	168,430156
61440,000000	170,336328
62464,000000	172,565547
63488,000000	174,379062
64512,000000	176,559297
65536,000000	178,926953
66560,000000	181,009297
67584,000000	182,749687
68608,000000	184,580391
69632,000000	186,126328
70656,000000	187,656406
71680,000000	189,542422
72704,000000	191,087891
73728,000000	192,885703
74752,000000	194,578516
75776,000000	196,171641
76800,000000	197,846563
77824,000000	199,182578
78848,000000	200,722969
79872,000000	202,260000
80896,000000	203,610469
81920,000000	205,228750
82944,000000	206,640234
83968,000000	208,131953
84992,000000	209,616406
86016,000000	211,195469
87040,000000	212,415312
88064,000000	213,713750
89088,000000	215,048828
90112,000000	216,303672
91136,000000	217,545703
92160,000000	218,570312
93184,000000	219,628672
94208,000000	220,713984
95232,000000	221,969375
96256,000000	223,053984
97280,000000	224,259375
98304,000000	225,264766
99328,000000	226,266562
100352,000000	227,327891
101376,000000	228,354453
102400,000000	229,395000
103424,000000	230,356719
104448,000000	231,312578
105472,000000	232,129766
106496,000000	232,856562
107520,000000	233,785937
108544,000000	234,571719
109568,000000	235,400000
110592,000000	236,235469
111616,000000	237,074297
112640,000000	237,905156
113664,000000	238,706562
114688,000000	239,571406
115712,000000	240,270859
116736,000000	240,853125
117760,000000	241,624297
118784,000000	242,341719
119808,000000	243,182813
120832,000000	243,959766
121856,000000	244,451719
122880,000000	245,105156
123904,000000	245,722344
124928,000000	246,295703
125952,000000	246,773438
126976,000000	247,196953
128000,000000	247,759531
129024,000000	248,254219
130048,000000	248,816953
131072,000000	249,284063
132096,000000	249,673906
133120,000000	250,211016
134144,000000	250,508984
135168,000000	251,058750
136192,000000	251,490859
137216,000000	251,890547
138240,000000	252,274219
139264,000000	252,769609
140288,000000	253,130391
141312,000000	253,489375
142336,000000	253,827188
143360,000000	254,215000
144384,000000	254,575156
145408,000000	254,938672
146432,000000	255,216406
147456,000000	255,615078
148480,000000	255,852578
149504,000000	256,192656
150528,000000	256,349453
151552,000000	256,784922
152576,000000	257,020156
153600,000000	257,237344
154624,000000	257,519062
155648,000000	257,779219
156672,000000	258,100703
157696,000000	258,272422
158720,000000	258,559766
159744,000000	258,771172
160768,000000	259,016484
161792,000000	259,174609
162816,000000	259,464766
163840,000000	259,673906
164864,000000	259,790234
165888,000000	260,115156
166912,000000	260,234141
167936,000000	260,436953
168960,000000	260,643750
169984,000000	260,781328
171008,000000	260,883281
172032,000000	260,998203
173056,000000	261,229688
174080,000000	261,389766
175104,000000	261,594297
176128,000000	261,693437
177152,000000	261,782344
178176,000000	261,942734
179200,000000	262,112891
180224,000000	262,258828
181248,000000	262,337656
182272,000000	262,512266
183296,000000	262,419844
184320,000000	262,589141
185344,000000	262,874687
186368,000000	262,779141
187392,000000	262,932891
188416,000000	263,176172
189440,000000	263,241875
190464,000000	263,475938
191488,000000	263,423203
192512,000000	263,649297
193536,000000	263,703672
194560,000000	263,836563
195584,000000	263,937422
196608,000000	264,148516
197632,000000	264,132422
198656,000000	264,489062
199680,000000	264,328750
200704,000000	264,627813
201728,000000	264,589531
202752,000000	264,628828
203776,000000	264,803672
204800,000000	265,043828
205824,000000	265,167500
206848,000000	265,074219
207872,000000	265,135937
208896,000000	265,267578
209920,000000	265,519844
210944,000000	265,494766
211968,000000	265,436484
212992,000000	265,653672
214016,000000	265,617656
215040,000000	265,636875
216064,000000	265,720703
217088,000000	265,822578
218112,000000	265,931250
219136,000000	265,862500
220160,000000	266,021719
221184,000000	266,022266
222208,000000	266,010547
223232,000000	266,093281
224256,000000	266,163047
225280,000000	266,121797
226304,000000	266,250625
227328,000000	266,222656
228352,000000	266,161250
229376,000000	266,412578
230400,000000	266,315625
231424,000000	266,386563
232448,000000	266,392969
233472,000000	266,445547
234496,000000	266,291484
235520,000000	266,402500
236544,000000	266,374062
237568,000000	266,441797
238592,000000	266,482031
239616,000000	266,455469
240640,000000	266,371094
241664,000000	266,584687
242688,000000	266,469297
243712,000000	266,470234
244736,000000	266,510859
245760,000000	266,566016
246784,000000	266,512422
247808,000000	266,518203
248832,000000	266,687734
249856,000000	266,477500
250880,000000	266,590234
251904,000000	266,622656
252928,000000	266,602578
253952,000000	266,617891
254976,000000	266,638047
256000,000000	266,633359
257024,000000	266,632188
258048,000000	266,680781
259072,000000	266,611094
260096,000000	266,606094
