1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,479000
1024,000000	4,422403
2048,000000	7,642422
3072,000000	11,354219
4096,000000	14,226328
5120,000000	17,817266
6144,000000	21,387656
7168,000000	25,024453
8192,000000	27,895469
9216,000000	31,733750
10240,000000	35,242344
11264,000000	38,229844
12288,000000	41,470156
13312,000000	44,750859
14336,000000	48,249141
15360,000000	51,390156
16384,000000	54,831328
17408,000000	57,782656
18432,000000	61,070391
19456,000000	64,543984
20480,000000	67,763281
21504,000000	70,800469
22528,000000	74,491641
23552,000000	77,208359
24576,000000	80,354688
25600,000000	83,398359
26624,000000	85,950000
27648,000000	89,432813
28672,000000	92,108828
29696,000000	94,989609
30720,000000	98,020234
31744,000000	101,121719
32768,000000	104,399453
33792,000000	106,992344
34816,000000	110,080000
35840,000000	112,584141
36864,000000	115,311172
37888,000000	118,256016
38912,000000	120,803984
39936,000000	123,789531
40960,000000	126,174297
41984,000000	128,416172
43008,000000	131,167578
44032,000000	133,591094
45056,000000	136,147344
46080,000000	138,482891
47104,000000	141,268672
48128,000000	143,628125
49152,000000	146,098672
50176,000000	148,359063
51200,000000	150,815078
52224,000000	153,337813
53248,000000	155,358125
54272,000000	157,591484
55296,000000	159,705391
56320,000000	161,991094
57344,000000	164,169922
58368,000000	166,034063
59392,000000	168,095469
60416,000000	170,291563
61440,000000	172,405937
62464,000000	174,054062
63488,000000	176,071719
64512,000000	178,046484
65536,000000	180,663359
66560,000000	182,362109
67584,000000	184,116719
68608,000000	186,001797
69632,000000	187,696797
70656,000000	189,295937
71680,000000	191,086563
72704,000000	192,824609
73728,000000	194,314766
74752,000000	196,143828
75776,000000	197,882187
76800,000000	199,355234
77824,000000	200,795391
78848,000000	202,155859
79872,000000	203,932500
80896,000000	205,303984
81920,000000	206,872344
82944,000000	208,144766
83968,000000	209,585469
84992,000000	210,975078
86016,000000	212,330391
87040,000000	213,703906
88064,000000	215,011875
89088,000000	216,234922
90112,000000	217,427656
91136,000000	218,777734
92160,000000	219,953828
93184,000000	220,854375
94208,000000	222,040938
95232,000000	223,301719
96256,000000	224,453906
97280,000000	225,393828
98304,000000	226,464297
99328,000000	227,503984
100352,000000	228,432891
101376,000000	229,365312
102400,000000	230,315234
103424,000000	231,155234
104448,000000	232,356406
105472,000000	233,060469
106496,000000	233,768750
107520,000000	234,814063
108544,000000	235,446328
109568,000000	236,314922
110592,000000	237,011406
111616,000000	237,811094
112640,000000	238,642266
113664,000000	239,382500
114688,000000	240,248984
115712,000000	241,070469
116736,000000	241,883359
117760,000000	242,609375
118784,000000	243,187656
119808,000000	243,779141
120832,000000	244,430625
121856,000000	244,834844
122880,000000	245,520156
123904,000000	246,018438
124928,000000	246,655469
125952,000000	247,114375
126976,000000	247,671953
128000,000000	248,029219
129024,000000	248,592891
130048,000000	249,133984
131072,000000	249,585547
132096,000000	250,015859
133120,000000	250,526484
134144,000000	250,911172
135168,000000	251,333281
136192,000000	251,663203
137216,000000	252,064375
138240,000000	252,418672
139264,000000	252,697656
140288,000000	253,181563
141312,000000	253,618594
142336,000000	253,920000
143360,000000	254,379687
144384,000000	254,682656
145408,000000	254,974219
146432,000000	255,223125
147456,000000	255,388594
148480,000000	255,872109
149504,000000	256,137891
150528,000000	256,183359
151552,000000	256,769766
152576,000000	256,990703
153600,000000	257,257578
154624,000000	257,486953
155648,000000	257,760703
156672,000000	257,870000
157696,000000	258,143281
158720,000000	258,327422
159744,000000	258,529609
160768,000000	258,736719
161792,000000	258,922266
162816,000000	258,958906
163840,000000	259,505859
164864,000000	259,602187
165888,000000	259,768203
166912,000000	260,036016
167936,000000	260,069922
168960,000000	260,238125
169984,000000	260,437266
171008,000000	260,631484
172032,000000	260,821484
173056,000000	260,843281
174080,000000	261,005391
175104,000000	261,144297
176128,000000	261,173125
177152,000000	261,458516
178176,000000	261,612344
179200,000000	261,619375
180224,000000	261,818906
181248,000000	262,022109
182272,000000	262,200703
183296,000000	262,354141
184320,000000	262,418359
185344,000000	262,517188
186368,000000	262,580469
187392,000000	262,671172
188416,000000	262,810781
189440,000000	262,876328
190464,000000	262,863125
191488,000000	262,969063
192512,000000	262,947344
193536,000000	263,082812
194560,000000	263,218594
195584,000000	263,200625
196608,000000	263,511250
197632,000000	263,470391
198656,000000	263,512500
199680,000000	263,585937
200704,000000	263,680859
201728,000000	263,685234
202752,000000	263,791172
203776,000000	263,883906
204800,000000	263,808047
205824,000000	264,109141
206848,000000	264,025547
207872,000000	264,065937
208896,000000	264,150391
209920,000000	264,164219
210944,000000	264,344922
211968,000000	264,269453
212992,000000	264,446562
214016,000000	264,380781
215040,000000	264,537500
216064,000000	264,634687
217088,000000	264,757109
218112,000000	264,801406
219136,000000	264,875469
220160,000000	264,910000
221184,000000	264,997422
222208,000000	265,013906
223232,000000	265,035156
224256,000000	265,222891
225280,000000	265,121953
226304,000000	265,171172
227328,000000	265,067891
228352,000000	265,052891
229376,000000	265,219531
230400,000000	265,351094
231424,000000	265,354609
232448,000000	265,306875
233472,000000	265,388594
234496,000000	265,410781
235520,000000	265,391016
236544,000000	265,330703
237568,000000	265,535781
238592,000000	265,505781
239616,000000	265,501250
240640,000000	265,595703
241664,000000	265,469609
242688,000000	265,570313
243712,000000	265,686641
244736,000000	265,499141
245760,000000	265,701484
246784,000000	265,643125
247808,000000	265,671484
248832,000000	265,743594
249856,000000	265,782734
250880,000000	265,775938
251904,000000	265,826875
252928,000000	265,729375
