1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	2,162364
1024,000000	4,234823
2048,000000	7,408594
3072,000000	10,853203
4096,000000	14,239688
5120,000000	17,575859
6144,000000	21,214609
7168,000000	24,633125
8192,000000	27,899844
9216,000000	30,980781
10240,000000	34,145938
11264,000000	37,786797
12288,000000	41,220078
13312,000000	44,599297
14336,000000	47,691719
15360,000000	50,951406
16384,000000	54,510312
17408,000000	57,744766
18432,000000	60,860000
19456,000000	64,068750
20480,000000	66,939219
21504,000000	70,492969
22528,000000	74,044844
23552,000000	76,694375
24576,000000	79,718516
25600,000000	83,048828
26624,000000	85,627891
27648,000000	88,617031
28672,000000	91,696484
29696,000000	94,995156
30720,000000	97,462266
31744,000000	100,869453
32768,000000	103,605000
33792,000000	106,363281
34816,000000	109,497500
35840,000000	112,061250
36864,000000	114,723047
37888,000000	117,365469
38912,000000	120,296797
39936,000000	123,030859
40960,000000	125,369453
41984,000000	128,069453
43008,000000	130,458281
44032,000000	133,332031
45056,000000	135,736953
46080,000000	138,247031
47104,000000	140,892500
48128,000000	143,209531
49152,000000	145,713203
50176,000000	148,209844
51200,000000	150,209609
52224,000000	152,412344
53248,000000	154,789609
54272,000000	156,774844
55296,000000	159,267266
56320,000000	161,673828
57344,000000	163,811797
58368,000000	165,661094
59392,000000	167,616641
60416,000000	169,690156
61440,000000	171,661953
62464,000000	173,746563
63488,000000	175,908516
64512,000000	177,655937
65536,000000	180,225781
66560,000000	181,967422
67584,000000	183,803516
68608,000000	185,734453
69632,000000	187,250000
70656,000000	188,894766
71680,000000	190,906875
72704,000000	192,386016
73728,000000	194,138828
74752,000000	195,944844
75776,000000	197,418359
76800,000000	198,881953
77824,000000	200,336250
78848,000000	202,175000
79872,000000	203,570938
80896,000000	204,892734
81920,000000	206,364375
82944,000000	207,812344
83968,000000	209,319844
84992,000000	210,693125
86016,000000	212,052344
87040,000000	213,284063
88064,000000	214,743281
89088,000000	215,891016
90112,000000	217,254063
91136,000000	218,355625
92160,000000	219,593750
93184,000000	220,854531
94208,000000	221,813359
95232,000000	223,069219
96256,000000	223,966250
97280,000000	225,125234
98304,000000	226,311953
99328,000000	227,269688
100352,000000	228,300469
101376,000000	229,163984
102400,000000	230,106406
103424,000000	231,084922
104448,000000	231,900703
105472,000000	232,807266
106496,000000	233,808828
107520,000000	234,589687
108544,000000	235,392266
109568,000000	236,153750
110592,000000	237,025547
111616,000000	237,835234
112640,000000	238,436094
113664,000000	239,125469
114688,000000	239,997109
115712,000000	240,886250
116736,000000	241,562109
117760,000000	242,431563
118784,000000	243,125234
119808,000000	243,689922
120832,000000	244,321406
121856,000000	244,857109
122880,000000	245,391562
123904,000000	246,016406
124928,000000	246,518594
125952,000000	247,083906
126976,000000	247,562656
128000,000000	248,053906
129024,000000	248,607812
130048,000000	249,165625
131072,000000	249,532891
132096,000000	249,873594
133120,000000	250,385156
134144,000000	250,994609
135168,000000	251,322734
136192,000000	251,586094
137216,000000	252,147812
138240,000000	252,452656
139264,000000	252,844922
140288,000000	253,109453
141312,000000	253,627969
142336,000000	253,995937
143360,000000	254,249844
144384,000000	254,706953
145408,000000	255,065547
146432,000000	255,224141
147456,000000	255,613984
148480,000000	255,848125
149504,000000	256,266094
150528,000000	256,341406
151552,000000	256,719375
152576,000000	257,105781
153600,000000	257,239609
154624,000000	257,482422
155648,000000	257,814297
156672,000000	257,996641
157696,000000	258,243281
158720,000000	258,438906
159744,000000	258,664219
160768,000000	258,816250
161792,000000	258,989922
162816,000000	259,201406
163840,000000	259,515703
164864,000000	259,682656
165888,000000	259,822500
166912,000000	260,035625
167936,000000	260,276328
168960,000000	260,295156
169984,000000	260,499297
171008,000000	260,768906
172032,000000	260,806875
173056,000000	260,834844
174080,000000	261,135938
175104,000000	261,173516
176128,000000	261,473594
177152,000000	261,572266
178176,000000	261,638984
179200,000000	261,721250
180224,000000	261,950859
181248,000000	262,068750
182272,000000	262,235781
183296,000000	262,347891
184320,000000	262,481875
185344,000000	262,546484
186368,000000	262,595078
187392,000000	262,730078
188416,000000	262,805156
189440,000000	262,876875
190464,000000	262,923437
191488,000000	263,069609
192512,000000	263,228672
193536,000000	263,200313
194560,000000	263,244531
195584,000000	263,382734
196608,000000	263,463281
197632,000000	263,511875
198656,000000	263,701172
199680,000000	263,691563
200704,000000	263,733984
201728,000000	263,722031
202752,000000	263,871797
203776,000000	263,864922
204800,000000	264,064609
205824,000000	264,078828
206848,000000	264,119297
207872,000000	264,287422
208896,000000	264,213437
209920,000000	264,356406
210944,000000	264,456719
211968,000000	264,551250
212992,000000	264,606094
214016,000000	264,478906
215040,000000	264,681797
216064,000000	264,712344
217088,000000	264,872969
218112,000000	264,856875
219136,000000	264,863203
220160,000000	264,881172
221184,000000	265,043125
222208,000000	264,889844
223232,000000	265,089844
224256,000000	265,205625
225280,000000	265,057578
226304,000000	265,171484
227328,000000	265,052969
228352,000000	265,243125
229376,000000	265,143125
230400,000000	265,174531
231424,000000	265,393438
232448,000000	265,467344
233472,000000	265,541641
234496,000000	265,524062
235520,000000	265,559063
236544,000000	265,505234
237568,000000	265,576484
238592,000000	265,671484
239616,000000	265,609766
240640,000000	265,457891
241664,000000	265,520547
242688,000000	265,624609
243712,000000	265,491953
244736,000000	265,620625
245760,000000	265,847734
246784,000000	265,723437
247808,000000	265,709531
248832,000000	265,676484
249856,000000	265,713203
250880,000000	265,773516
251904,000000	265,718281
252928,000000	265,757266
253952,000000	265,751172
254976,000000	265,773516
256000,000000	265,759844
257024,000000	265,818437
258048,000000	265,796562
259072,000000	265,930469
260096,000000	265,779453
